currency,rate,date
HKD,8.44,2016-03-02
IDR,14445.17,2016-03-02
ILS,4.2191,2016-03-02
INR,73.3115,2016-03-02
KRW,1334.29,2016-03-02
MXN,19.4214,2016-03-02
MYR,4.5215,2016-03-02
NZD,1.6404,2016-03-02
PHP,51.327,2016-03-02
SGD,1.5226,2016-03-02
THB,38.615,2016-03-02
ZAR,17.0097,2016-03-02
USD,1.0872,2016-03-01
JPY,122.94,2016-03-01
BGN,1.9558,2016-03-01
CZK,27.056,2016-03-01
DKK,7.4591,2016-03-01
GBP,0.778,2016-03-01
HUF,310.15,2016-03-01
PLN,4.3468,2016-03-01
RON,4.4653,2016-03-01
SEK,9.365,2016-03-01
CHF,1.086,2016-03-01
NOK,9.407,2016-03-01
HRK,7.6263,2016-03-01
RUB,80.227,2016-03-01
TRY,3.2089,2016-03-01
AUD,1.5196,2016-03-01
BRL,4.3519,2016-03-01
CAD,1.4699,2016-03-01
CNY,7.123,2016-03-01
HKD,8.4539,2016-03-01
IDR,14500,2016-03-01
ILS,4.2332,2016-03-01
INR,73.77,2016-03-01
KRW,1340.06,2016-03-01
MXN,19.5872,2016-03-01
MYR,4.5163,2016-03-01
NZD,1.6475,2016-03-01
PHP,51.341,2016-03-01
SGD,1.5238,2016-03-01
THB,38.709,2016-03-01
ZAR,17.2024,2016-03-01
USD,1.0888,2016-02-29
JPY,123.14,2016-02-29
BGN,1.9558,2016-02-29
CZK,27.057,2016-02-29
DKK,7.4602,2016-02-29
GBP,0.7858,2016-02-29
HUF,311.26,2016-02-29
PLN,4.3543,2016-02-29
RON,4.4757,2016-02-29
SEK,9.3219,2016-02-29
CHF,1.0914,2016-02-29
NOK,9.5043,2016-02-29
HRK,7.6263,2016-02-29
RUB,82.6432,2016-02-29
TRY,3.2273,2016-02-29
AUD,1.526,2016-02-29
BRL,4.3394,2016-02-29
CAD,1.4767,2016-02-29
CNY,7.1351,2016-02-29
HKD,8.4651,2016-02-29
IDR,14559.43,2016-02-29
ILS,4.2556,2016-02-29
INR,74.3825,2016-02-29
KRW,1347.54,2016-02-29
MXN,19.8005,2016-02-29
MYR,4.587,2016-02-29
NZD,1.6557,2016-02-29
PHP,51.615,2016-02-29
SGD,1.5325,2016-02-29
THB,38.827,2016-02-29
ZAR,17.4563,2016-02-29
USD,1.1006,2016-02-26
JPY,124.42,2016-02-26
BGN,1.9558,2016-02-26
CZK,27.064,2016-02-26
DKK,7.46,2016-02-26
GBP,0.78745,2016-02-26
HUF,310.52,2016-02-26
PLN,4.3631,2016-02-26
RON,4.4639,2016-02-26
SEK,9.371,2016-02-26
CHF,1.0929,2016-02-26
NOK,9.5245,2016-02-26
HRK,7.623,2016-02-26
RUB,83.045,2016-02-26
TRY,3.2347,2016-02-26
AUD,1.5275,2016-02-26
BRL,4.3356,2016-02-26
CAD,1.4909,2016-02-26
CNY,7.1954,2016-02-26
HKD,8.5511,2016-02-26
IDR,14715.02,2016-02-26
ILS,4.293,2016-02-26
INR,75.601,2016-02-26
KRW,1360.34,2016-02-26
MXN,19.9233,2016-02-26
MYR,4.6352,2016-02-26
NZD,1.6347,2016-02-26
PHP,52.276,2016-02-26
SGD,1.5428,2016-02-26
THB,39.236,2016-02-26
ZAR,17.2528,2016-02-26
USD,1.1027,2016-02-25
JPY,124.01,2016-02-25
BGN,1.9558,2016-02-25
CZK,27.052,2016-02-25
DKK,7.4617,2016-02-25
GBP,0.7892,2016-02-25
HUF,310.86,2016-02-25
PLN,4.3581,2016-02-25
RON,4.4673,2016-02-25
SEK,9.3808,2016-02-25
CHF,1.0935,2016-02-25
NOK,9.5413,2016-02-25
HRK,7.622,2016-02-25
RUB,83.9575,2016-02-25
TRY,3.2248,2016-02-25
AUD,1.5292,2016-02-25
BRL,4.3527,2016-02-25
CAD,1.5025,2016-02-25
CNY,7.2026,2016-02-25
HKD,8.5676,2016-02-25
IDR,14787.76,2016-02-25
ILS,4.3015,2016-02-25
INR,75.9485,2016-02-25
KRW,1366.74,2016-02-25
MXN,20.0011,2016-02-25
MYR,4.65,2016-02-25
NZD,1.6487,2016-02-25
PHP,52.532,2016-02-25
SGD,1.5463,2016-02-25
THB,39.322,2016-02-25
ZAR,17.1657,2016-02-25
